1 1
33 36 28
22 10 34 16
17 14 52 58
45 45 78 60
15 35 59 72
42 21 92 34
27 9 68 23
26 26 67 49
36 18 48 36
29 30 62 43
23 35 41 65
2 8 25 28
17 6 61 18
42 23 72 45
19 37 54 86
24 20 40 34
26 30 68 37
23 20 36 67
31 25 37 60
27 5 64 52
29 7 43 32
0 8 38 35
28 34 67 38
1 49 6 82
10 18 37 58
12 36 39 81
39 20 85 55
28 1 46 49
2 42 20 45
6 30 8 67
41 39 57 84
19 29 60 61
17 21 65 53
25 27 35 45
6 3 54 40
15 33 22 53
24 21 53 54
29 19 33 40
18 15 27 56
49 23 96 42
45 1 92 23
5 38 35 53
28 0 70 44
0 14 35 39
14 6 52 50
41 15 69 25
36 1 69 39
28 7 54 32
21 45 30 75
37 43 73 62
28 11 72 40
29 4 56 48
13 38 27 45
40 18 45 47
38 17 58 35
46 43 71 64
33 49 74 72
25 40 70 46
39 36 44 56
32 14 75 62
7 4 13 53
11 28 34 78
43 18 90 59
1 30 13 59
5 36 26 81
26 15 49 24
16 8 49 33
37 24 50 25
36 49 39 79
0 21 19 45
31 30 63 64
44 13 55 63
31 46 81 56
23 18 37 59
45 16 72 51
40 34 81 61
42 7 79 53
6 18 36 56
12 22 61 32
9 10 46 53
37 1 44 15
22 5 44 25
49 4 71 44
11 17 52 23
28 0 56 35
8 24 29 47
19 31 66 62
34 22 77 45
0 35 26 58
49 42 90 91
13 40 62 65
40 31 50 51
36 5 69 50
4 19 34 43
26 5 27 16
42 34 72 78
5 17 27 22
13 4 25 31
9 2 54 5
6 21 41 64
18 39 47 62
8 48 17 85
8 48 12 52
33 48 67 89
4 46 22 65
29 46 30 85
47 40 97 44
33 47 47 51
42 25 79 28
46 38 72 46
29 10 66 25
21 4 32 33
27 48 28 55
2 47 47 97
43 2 83 31
3 31 4 79
38 1 48 37
34 42 74 58
27 29 32 79
14 29 50 73
35 0 63 39
21 39 71 57
38 45 81 89
44 40 74 73
40 19 82 46
32 42 44 53
17 11 41 43
9 25 50 72
17 34 45 75
26 7 51 22
18 8 24 21
36 46 37 73
44 2 61 31
29 40 76 88
20 30 22 62
43 27 51 40
36 5 51 18
40 29 53 40
19 24 59 30
41 33 62 71
38 16 77 37
34 17 41 24
10 37 60 43
9 18 27 64
33 8 57 32
37 33 77 41
28 14 36 36
29 9 30 28
38 38 64 63
33 31 41 75
8 49 29 67
39 13 59 36
44 47 68 79
12 40 45 83
41 15 49 37
7 41 32 89
1 21 33 59
40 30 45 79
25 16 57 33
2 39 34 86
4 30 43 49
21 12 42 25
29 35 57 72
4 33 31 41
9 44 17 94
11 0 39 37
10 5 29 19
49 11 94 17
34 25 76 31
14 18 54 62
18 32 24 55
32 30 50 74
24 43 51 80
3 24 47 39
13 27 43 40
25 19 64 30
32 17 77 64
35 41 73 45
43 28 67 54
41 18 52 36
36 5 50 46
8 4 39 26
11 35 45 75
23 1 28 7
0 3 19 39
6 39 52 89
20 26 38 40
27 31 74 47
10 5 47 26
18 42 30 75
46 21 76 42
34 27 57 62
40 22 74 71
30 47 44 48
30 14 54 24
22 24 70 57
35 4 68 9
43 36 92 77
28 12 38 25
33 48 75 72
24 22 47 27
35 7 57 23
47 26 69 46
18 3 20 7
33 9 41 38
6 20 54 55
8 48 43 90
26 15 75 18
21 9 61 16
10 24 27 34
39 28 40 38
3 14 35 53
39 17 66 65
23 31 61 64
22 25 54 26
29 4 70 5
31 7 45 52
31 3 63 24
33 31 66 69
15 25 62 30
22 1 65 49
32 31 67 38
15 8 23 54
49 47 62 81
26 27 31 37
37 32 70 54
16 10 30 43
11 36 47 72
30 33 71 48
26 20 43 63
25 39 54 65
40 10 77 29
43 28 81 61
21 5 32 44
25 20 41 58
3 22 12 56
0 47 8 75
26 21 46 23
49 28 60 68
48 10 87 54
27 26 68 76
2 37 34 65
49 16 57 19
17 35 59 54
48 45 83 72
5 28 22 33
28 43 37 72
47 22 53 47
45 25 46 73
33 27 46 60
21 34 65 74
34 9 56 45
7 11 12 24
22 16 64 19
0 32 13 82
17 23 22 39
6 14 8 55
13 22 55 60
37 28 47 50
30 6 68 47
41 2 62 18
11 17 31 29
33 12 35 13
6 17 45 32
39 4 72 9
25 41 55 54
38 36 58 57
6 10 51 60
14 14 30 41
36 39 70 59
35 21 38 65
40 9 80 41
23 35 38 84
45 13 73 47
48 5 98 11
43 6 62 17
33 36 57 58
8 40 36 86
31 40 43 64
0 4 1 30
14 24 57 34
19 44 59 64
38 26 40 60
19 43 53 48
6 25 38 42
11 12 29 55
29 18 32 50
2 7 27 26
16 27 50 65
22 7 46 20
25 47 59 94
18 3 60 30
24 43 55 79
48 30 54 60
9 10 58 23
24 30 44 72
2 30 13 57
33 40 73 49
23 7 62 51
31 20 42 26
40 41 54 80
20 17 42 47
21 43 52 89
49 38 74 43
36 32 56 52
10 30 34 64
13 29 51 74
49 1 99 41
14 30 57 67
15 15 65 52
31 34 43 68
37 37 60 61
43 42 63 47
44 39 69 49
13 3 32 16
19 4 25 38
49 19 84 35
35 3 73 23
0 2 38 40
12 10 52 16
10 11 15 19
29 16 33 59
21 5 44 49
29 28 41 57
47 45 48 78
37 1 87 41
36 26 40 75
44 6 81 14
42 14 60 36
20 16 51 61
4 37 28 71
34 12 52 44
17 15 27 22
8 45 28 91
22 45 44 65
9 26 11 29
21 25 62 69
22 39 64 67
16 12 45 13
46 33 71 47
36 20 86 65
18 41 34 84
39 13 77 62
40 2 80 16
31 7 60 12
21 33 68 72
25 40 71 62
22 34 49 43
25 2 32 48
22 39 69 51
33 11 37 37
42 39 59 64
44 30 91 48
44 7 58 27
10 42 11 75
26 40 56 44
35 48 81 56
41 20 79 47
40 1 75 35
0 9 43 56
40 13 80 49
4 6 28 21
23 49 25 51
30 4 70 20
36 25 39 55
41 7 89 42
31 19 43 51
3 27 32 72
19 31 63 55
18 39 56 83
38 44 77 65
30 36 79 55
2 48 16 94
10 29 16 72
16 25 65 48
28 16 32 64
48 22 96 39
36 9 49 37
0 47 4 80
3 1 39 9
